,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manual evaluation of identified biomolecules in molecular dynamics simulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,identified:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,correctly (identity),330,,86,,76,,48,,41,,26,,17,,10,,10,,5,,3,,3,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,correctly (similarity),35,,4,,4,,9,,5,,2,,3,,4,,1,,1,,1,,0,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,incorrectly,59,,11,,8,,8,,8,,6,,4,,2,,4,,3,,2,,1,,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-------,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,molecule cnt,424,,101,,88,,65,,54,,34,,24,,16,,15,,9,,6,,4,,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"~ denotes whether the molecule was identified correctly on identity (1), correctly on similarity (2) or incorrectly (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simulation_file,repository_path,MOLECULE_1,~,MOLECULE_2,~,MOLECULE_3,~,MOLECULE_4,~,MOLECULE_5,~,MOLECULE_6,~,MOLECULE_7,~,MOLECULE_8,~,MOLECULE_9,~,MOLECULE_10,~,MOLECULE_11,~,MOLECULE_12,~,MOLECULE_13,~,MOLECULE_14,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,838633_POPC-298K-90,https://zenodo.org/records/838633,seg_1_SOL,1,seg_0_POPC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10635496_DPPC_200_SOL_9000_CHARMM36_LO_326K,https://zenodo.org/records/10635496,seg_1_SOL,1,seg_0_DPPC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1306821_md,https://zenodo.org/records/1306821,seg_2_TIP3,1,seg_1_POPE,1,seg_0_POPC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8254459_empty_60SDS_micelle_CHARMM36_TIP3P_10fsSF_307K_replica2,https://zenodo.org/records/8254459,seg_1_TIP3,1,seg_0_SDS,2,seg_2_SOD,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,32173_popcCACL,https://zenodo.org/records/32173,seg_1_CA,1,seg_0_PLA,2,seg_2_CL,2,seg_3_SOL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,545941_md4,https://zenodo.org/records/545941,seg_0_POPC,1,seg_1_TIP3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10999382_EmrE-deprotE14A_Xray-cpt-samp-r2,https://zenodo.org/records/10999382,seg_0_PROA,1,seg_4_CLA,1,seg_5_TIP3,1,seg_3_SOD,1,seg_1_PROB,1,seg_2_DMPC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
